city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
sola,0.0,IN,1612639921.0,71.0,23.4,76.7167,12.0,2.06
saint-joseph,90.0,UA,1612639922.0,86.0,46.0725,30.4654,-3.0,3.0
berlevag,78.0,PE,1612639882.0,66.0,-11.0964,-77.6139,23.93,4.42
chuy,1.0,US,1612639924.0,49.0,40.8167,-82.2665,-6.11,5.14
muros,20.0,ES,1612639925.0,94.0,41.2779,1.9703,13.89,4.12
tommot,50.0,MR,1612639927.0,13.0,20.5169,-13.0499,23.0,7.72
lusambo,20.0,UY,1612639706.0,54.0,-34.6667,-54.9167,27.0,9.77
bozuyuk,75.0,UA,1612639930.0,63.0,49.4864,29.2636,-5.0,2.0
lendava,100.0,BR,1612639931.0,83.0,-18.0864,-39.5508,27.1,3.81
moerai,1.0,US,1612639889.0,19.0,34.4839,-114.3224,19.0,4.12
daru,20.0,MY,1612639933.0,94.0,6.351,116.4305,24.0,1.03
ucluelet,90.0,US,1612639934.0,94.0,30.2169,-90.9001,12.0,1.54
alice springs,28.0,RU,1612639935.0,84.0,63.2842,118.3319,-35.98,0.98
taltal,0.0,IN,1612639936.0,32.0,28.2833,74.3167,15.76,1.67
omsukchan,98.0,BR,1612639896.0,68.0,-3.2778,-39.2689,28.38,5.23
baglung,100.0,ID,1612639939.0,87.0,0.5412,123.0595,23.84,1.48
san ramon,40.0,US,1612639940.0,93.0,40.5982,-124.1573,11.11,3.84
santa lucia,89.0,VN,1612639941.0,89.0,13.0833,109.3,21.31,2.15
axixa do tocantins,74.0,PH,1612639942.0,88.0,17.0818,122.4157,23.96,1.84
putina,96.0,DE,1612639943.0,69.0,54.3667,10.9833,-1.11,8.23
laguna,0.0,IN,1612639944.0,47.0,30.5667,79.5667,3.93,5.76
boa vista,100.0,RU,1612639946.0,93.0,60.3778,92.6267,-9.03,4.38
pihani,1.0,MX,1612639914.0,53.0,22.8909,-109.9124,24.44,5.14
amderma,95.0,CN,1612639948.0,72.0,40.2833,97.2,-2.62,0.5
kropotkin,76.0,IS,1612639948.0,80.0,64.8945,-23.7142,1.89,6.93
bentiu,100.0,RU,1612639950.0,92.0,50.8855,45.488,-11.27,7.13
marica,0.0,BR,1612639951.0,57.0,-25.7689,-53.5325,25.14,2.95
myaundzha,90.0,SE,1612639952.0,92.0,63.1792,14.6357,-11.0,2.57
soubre,75.0,VN,1612639953.0,78.0,22.4833,103.95,18.77,0.16
